latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.7889,-122.9737,313,1.1,1.1,2002-01-02,1914,Terra,MODIS,64,6.2,270.1,19,D,0
54.6237,-111.7467,342.3,1.2,1.1,2002-01-04,0531,Terra,MODIS,100,6.2,267.3,0,N,0
55.4041,-116.648,308,1,1,2002-01-04,0531,Terra,MODIS,73,6.2,266.2,13.8,N,0
54.7185,-115.4992,302.4,1,1,2002-01-04,0531,Terra,MODIS,49,6.2,266.4,10.6,N,0
56.5082,-111.9999,311.1,1.1,1,2002-01-04,1900,Terra,MODIS,71,6.2,269.5,16.2,D,0
56.505,-112.0378,307.3,1.1,1,2002-01-04,1900,Terra,MODIS,57,6.2,269.4,13.3,D,0
56.511,-112.0164,334.2,1.1,1,2002-01-04,1900,Terra,MODIS,89,6.2,270.7,42.7,D,0
56.5021,-112.0213,328.4,1.1,1,2002-01-04,1900,Terra,MODIS,86,6.2,270,34.5,D,0
53.9061,-116.4706,321.9,1,1,2002-01-04,1901,Terra,MODIS,76,6.2,272.4,23.2,D,0
53.9039,-116.4557,352.1,1,1,2002-01-04,1901,Terra,MODIS,97,6.2,274.2,70.6,D,0
53.8146,-117.0085,301.5,1,1,2002-01-04,1901,Terra,MODIS,45,6.2,269.2,9.3,D,0
53.9148,-116.467,341.6,1,1,2002-01-04,1901,Terra,MODIS,92,6.2,273.8,49.7,D,0
53.9127,-116.4521,317.8,1,1,2002-01-04,1901,Terra,MODIS,65,6.2,272.1,19,D,0
53.8951,-116.4593,310.6,1,1,2002-01-04,1901,Terra,MODIS,28,6.2,272.4,12.8,D,0
52.8572,-123.8756,308.2,1.1,1,2002-01-05,0614,Terra,MODIS,74,6.2,267.2,15.5,N,0
42.5187,-82.4441,363,1,1,2002-01-05,1630,Terra,MODIS,94,6.2,275.2,98.4,D,0
42.517,-82.4321,321.6,1,1,2002-01-05,1630,Terra,MODIS,74,6.2,273.2,22.1,D,0
55.1026,-115.8838,314.4,1.9,1.4,2002-01-05,1944,Terra,MODIS,75,6.2,268.4,49.5,D,0
53.9292,-116.4879,302.5,2,1.4,2002-01-05,1944,Terra,MODIS,44,6.2,269.3,26.8,D,0
53.9223,-116.4592,308.3,2,1.4,2002-01-05,1944,Terra,MODIS,48,6.2,269.5,35.4,D,0
53.9246,-116.5247,325.6,2,1.4,2002-01-05,1944,Terra,MODIS,71,6.2,270.2,75,D,0
53.9177,-116.496,325.7,2,1.4,2002-01-05,1944,Terra,MODIS,71,6.2,270.9,75.3,D,0
53.8852,-116.4173,300.3,2,1.4,2002-01-05,1944,Terra,MODIS,25,6.2,269.8,23.5,D,0
53.9108,-116.4673,327,2,1.4,2002-01-05,1944,Terra,MODIS,65,6.2,270.5,78.6,D,0
55.0958,-115.8562,304.3,1.9,1.4,2002-01-05,1944,Terra,MODIS,59,6.2,268.1,31.4,D,0
52.7584,-123.0402,338.1,1.2,1.1,2002-01-05,1945,Terra,MODIS,69,6.2,271.5,58.2,D,0
54.775,-117.4117,356.4,1.2,1.1,2002-01-06,0519,Terra,MODIS,100,6.2,269.2,0,N,0
55.1005,-115.8204,302.6,1.1,1,2002-01-06,0519,Terra,MODIS,50,6.2,267.4,11.7,N,0
54.7719,-117.4288,356.5,1.2,1.1,2002-01-06,0519,Terra,MODIS,100,6.2,268.9,0,N,0
55.1073,-115.817,328,1.1,1.1,2002-01-06,1849,Terra,MODIS,85,6.2,275.9,36.4,D,0
58.5521,-114.291,307.7,2.2,1.4,2002-01-07,0425,Terra,MODIS,72,6.2,267.8,43.3,N,0
58.5536,-114.2855,307.2,2.2,1.4,2002-01-07,0425,Terra,MODIS,71,6.2,268,42.2,N,0
57.3005,-122.1612,314,1,1,2002-01-07,1931,Terra,MODIS,52,6.2,272,16.2,D,0
57.3069,-122.1408,312.6,1,1,2002-01-07,1931,Terra,MODIS,53,6.2,272,15.1,D,0
57.3092,-122.1569,337,1,1,2002-01-07,1931,Terra,MODIS,83,6.2,273.5,41.7,D,0
57.2436,-122.0924,320.3,1,1,2002-01-07,1931,Terra,MODIS,80,6.2,273.9,22.6,D,0
57.2349,-122.0967,301.8,1,1,2002-01-07,1931,Terra,MODIS,32,6.2,272,8.4,D,0
57.3028,-122.1774,313.2,1,1,2002-01-07,1931,Terra,MODIS,70,6.2,271.4,16.1,D,0
57.3052,-122.1935,308.4,1,1,2002-01-07,1931,Terra,MODIS,56,6.2,271.8,12.7,D,0
52.1838,-121.4883,359.7,1.1,1,2002-01-07,1932,Terra,MODIS,0,6.2,267.3,103.6,D,0
54.7935,-116.0096,311.7,1.4,1.2,2002-01-08,1836,Terra,MODIS,72,6.2,272.4,26.6,D,0
54.7915,-115.988,306.3,1.4,1.2,2002-01-08,1836,Terra,MODIS,63,6.2,272.4,20.4,D,0
52.1733,-121.4767,306.5,1,1,2002-01-09,0549,Terra,MODIS,68,6.2,268.6,13.7,N,0
58.5882,-114.2499,300.5,1.6,1.2,2002-01-09,0550,Terra,MODIS,29,6.2,267.8,19.9,N,0
58.5862,-114.2771,326.1,1.6,1.2,2002-01-09,0550,Terra,MODIS,100,6.2,266.8,60.2,N,0
54.826,-114.0488,306.7,1.4,1.2,2002-01-10,0454,Terra,MODIS,69,6.2,265.9,23.1,N,0
53.1758,-103.0268,303,1.2,1.1,2002-01-10,1824,Terra,MODIS,55,6.2,267.6,12.6,D,0
54.7782,-107.0628,342.9,1,1,2002-01-10,1824,Terra,MODIS,93,6.2,269.2,55.3,D,0
53.1635,-103.015,305.8,1.2,1.1,2002-01-10,1824,Terra,MODIS,62,6.2,267.7,14.7,D,0
54.2143,-110.1057,306,1.1,1.1,2002-01-10,1824,Terra,MODIS,63,6.2,270.4,14.8,D,0
54.5089,-104.9909,314.1,2.6,1.5,2002-01-11,1728,Terra,MODIS,39,6.2,272,64.3,D,0
