latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.5891,-123.0113,305.7,1.1,1,2009-01-05,1912,Terra,MODIS,58,6.2,269,14.4,D,0
51.8523,-115.1822,316.8,1.4,1.2,2009-01-05,2101,Aqua,MODIS,63,6.2,269,33.4,D,0
51.4953,-123.3614,362,1.3,1.1,2009-01-07,2049,Aqua,MODIS,75,6.2,274,139.4,D,0
51.5057,-123.3084,349.1,1.3,1.1,2009-01-07,2049,Aqua,MODIS,89,6.2,270.4,93.4,D,0
51.5153,-123.3136,334.6,1.3,1.1,2009-01-07,2049,Aqua,MODIS,65,6.2,269.2,57.5,D,0
52.7032,-115.7847,341.4,1.7,1.3,2009-01-10,1930,Terra,MODIS,0,6.2,265.7,113,D,0
53.8326,-116.3117,338.4,1.5,1.2,2009-01-10,1930,Terra,MODIS,86,6.2,272.4,81.9,D,0
54.8785,-119.8649,308.2,1.1,1,2009-01-10,1930,Terra,MODIS,67,6.2,268,15.7,D,0
52.6371,-116.1329,329.4,1.7,1.3,2009-01-10,1930,Terra,MODIS,81,6.2,267.9,70.2,D,0
54.819,-119.4236,307.2,1.1,1.1,2009-01-10,1930,Terra,MODIS,65,6.2,269,16.2,D,0
52.7497,-114.9221,316.1,1.9,1.3,2009-01-10,1930,Terra,MODIS,76,6.2,267.9,50.6,D,0
52.6456,-116.1202,310.1,1.7,1.3,2009-01-10,1930,Terra,MODIS,69,6.2,267.7,30.2,D,0
53.8279,-116.2897,311.5,1.5,1.2,2009-01-10,1930,Terra,MODIS,50,6.2,271.2,26.7,D,0
53.8249,-116.3121,323,2.1,1.4,2009-01-10,2120,Aqua,MODIS,72,6.2,271.2,76.6,D,0
53.8377,-116.3147,312.3,2.1,1.4,2009-01-10,2120,Aqua,MODIS,40,6.2,271.3,45.3,D,0
54.2673,-125.8968,302.2,1.8,1.3,2009-01-11,0643,Terra,MODIS,47,6.2,270.6,24.4,N,0
52.6209,-116.1417,316.6,1.3,1.1,2009-01-11,1835,Terra,MODIS,67,6.2,269.5,31,D,0
54.9131,-119.8773,315.9,2.1,1.4,2009-01-11,1835,Terra,MODIS,65,6.2,271.9,53.5,D,0
51.871,-115.1906,313.1,1.2,1.1,2009-01-11,1835,Terra,MODIS,57,6.2,272.3,22.7,D,0
52.6189,-116.1216,310,1.3,1.1,2009-01-11,1835,Terra,MODIS,52,6.2,266.5,23.1,D,0
54.9056,-119.8649,320.3,2.8,1.6,2009-01-11,2012,Terra,MODIS,66,6.2,270.3,98.1,D,0
54.904,-119.874,323.3,2.8,1.6,2009-01-11,2012,Terra,MODIS,72,6.2,270.6,112.6,D,0
52.7657,-115.6849,320.4,1.1,1,2009-01-11,2025,Aqua,MODIS,80,6.2,272.6,27,D,0
52.7685,-115.6692,346.1,1.1,1,2009-01-11,2025,Aqua,MODIS,94,6.2,273.1,68.7,D,0
52.6194,-116.1418,315,1.1,1.1,2009-01-11,2025,Aqua,MODIS,75,6.2,270.3,22.8,D,0
54.8855,-119.9009,311.3,1.4,1.2,2009-01-11,2026,Aqua,MODIS,32,6.2,270.9,22.1,D,0
50.7224,-121.4582,319.6,1.1,1,2009-01-12,0546,Terra,MODIS,99,6.2,266.9,25.4,N,0
50.729,-121.4764,310.6,1.1,1,2009-01-12,0546,Terra,MODIS,80,6.2,266.5,17.3,N,0
50.7313,-121.4622,344.4,1.1,1,2009-01-12,0546,Terra,MODIS,100,6.2,269.2,62.3,N,0
50.7201,-121.4724,326.6,1.1,1,2009-01-12,0546,Terra,MODIS,100,6.2,267.5,33.4,N,0
51.5113,-123.3287,332.9,1.2,1.1,2009-01-14,1906,Terra,MODIS,83,6.2,272.7,49.4,D,0
51.5447,-123.3567,333.6,1.2,1.1,2009-01-14,1906,Terra,MODIS,89,6.2,272.1,53.3,D,0
51.5132,-123.3464,408.1,1.2,1.1,2009-01-14,1906,Terra,MODIS,94,6.2,283.1,424.7,D,0
51.5492,-123.3702,319,1.1,1.1,2009-01-14,2055,Aqua,MODIS,79,6.2,271.5,26.6,D,0
51.5521,-123.3546,321.5,1.1,1.1,2009-01-14,2055,Aqua,MODIS,81,6.2,268.3,29.5,D,0
51.5466,-123.3641,378.5,1.1,1.1,2009-01-14,2055,Aqua,MODIS,100,6.2,274.5,180.8,D,0
51.5069,-123.3623,333.7,1.1,1.1,2009-01-14,2055,Aqua,MODIS,84,6.2,272,46.5,D,0
51.5098,-123.3465,372.6,1.1,1.1,2009-01-14,2055,Aqua,MODIS,87,6.2,274.4,157.9,D,0
54.5498,-119.2902,302.5,1,1,2009-01-14,2056,Aqua,MODIS,52,6.2,268.9,10,D,0
52.6985,-125.4862,313,1.3,1.1,2009-01-14,2056,Aqua,MODIS,73,6.2,268,24.2,D,0
52.6888,-125.481,305.4,1.3,1.1,2009-01-14,2056,Aqua,MODIS,59,6.2,267.2,16.1,D,0
52.8182,-122.8441,310.7,1.3,1.1,2009-01-15,0618,Terra,MODIS,81,6.2,265.6,22.1,N,0
54.6429,-119.1116,302.2,1,1,2009-01-15,1026,Aqua,MODIS,47,6.2,272.9,10.4,N,0
55.2919,-117.5686,308,1.9,1.3,2009-01-15,1948,Terra,MODIS,48,6.2,272,30.4,D,0
54.3565,-118.7439,304.2,1.8,1.3,2009-01-15,1948,Terra,MODIS,58,6.2,276.3,24.3,D,0
54.3625,-118.7694,327.6,1.8,1.3,2009-01-15,1948,Terra,MODIS,85,6.2,276.7,71.3,D,0
53.9748,-116.6726,306.3,2.3,1.5,2009-01-15,1948,Terra,MODIS,48,6.2,271.8,39.8,D,0
53.3622,-117.9293,311.5,2.1,1.4,2009-01-15,1948,Terra,MODIS,71,6.2,277,40.9,D,0
55.2808,-117.5768,302,1.9,1.3,2009-01-15,1948,Terra,MODIS,46,6.2,271.2,22.4,D,0
55.3207,-117.5796,302.2,1.9,1.3,2009-01-15,1948,Terra,MODIS,17,6.2,272.4,20.8,D,0
52.6393,-116.2114,338,2.6,1.6,2009-01-15,1948,Terra,MODIS,91,6.2,275.7,185.3,D,0
54.8028,-119.9025,306.8,1.6,1.2,2009-01-15,1948,Terra,MODIS,61,6.2,275.7,22.4,D,0
53.7811,-117.2428,321.5,2.2,1.4,2009-01-15,1948,Terra,MODIS,42,6.2,273.4,67,D,0
53.7804,-117.238,317.1,2.2,1.4,2009-01-15,1948,Terra,MODIS,73,6.2,272.5,62.1,D,0
53.7883,-117.2694,318.6,2.2,1.4,2009-01-15,1948,Terra,MODIS,74,6.2,276.5,64.7,D,0
54.1503,-117.0878,306.4,2.1,1.4,2009-01-15,1948,Terra,MODIS,60,6.2,273,37.4,D,0
54.5424,-119.2802,301.2,1.7,1.3,2009-01-15,1948,Terra,MODIS,43,6.2,277.8,17,D,0
50.3623,-121.327,301.2,1.8,1.3,2009-01-15,1949,Terra,MODIS,22,6.2,269.3,20.2,D,0
50.3567,-121.3362,301.4,1.8,1.3,2009-01-15,1949,Terra,MODIS,41,6.2,268.5,22.5,D,0
52.6372,-116.2222,350,2,1.4,2009-01-15,2000,Aqua,MODIS,96,6.2,277.4,183.2,D,0
52.6352,-116.2169,345.5,2,1.4,2009-01-15,2000,Aqua,MODIS,94,6.2,276.9,157.1,D,0
52.6288,-116.2439,324,2,1.4,2009-01-15,2000,Aqua,MODIS,83,6.2,277.6,71.6,D,0
52.6306,-116.2497,308.9,2,1.4,2009-01-15,2000,Aqua,MODIS,68,6.2,276.7,36.5,D,0
53.9771,-116.6857,329.1,1.9,1.3,2009-01-15,2001,Aqua,MODIS,65,6.2,275,81.8,D,0
