latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.6805,-115.8244,375.4,1.2,1.1,2010-01-07,2017,Aqua,MODIS,100,6.2,266.3,0,D,0
55.534,-121.7423,309.3,1.1,1.1,2010-01-08,1910,Terra,MODIS,68,6.2,272.1,16.9,D,0
54.1337,-117.1493,323.5,1,1,2010-01-08,1911,Terra,MODIS,82,6.2,269.6,27.8,D,0
54.1312,-117.1341,336.3,1,1,2010-01-08,1911,Terra,MODIS,90,6.2,270.7,44.8,D,0
54.2622,-116.8449,326,1,1,2010-01-08,1911,Terra,MODIS,84,6.2,273.1,30.4,D,0
54.2571,-116.8142,370.4,1,1,2010-01-08,1911,Terra,MODIS,100,6.2,277.5,129,D,0
54.3177,-118.9369,337.5,1,1,2010-01-08,1911,Terra,MODIS,85,6.2,273.4,45.2,D,0
54.3001,-118.9443,355.1,1,1,2010-01-08,1911,Terra,MODIS,92,6.2,274.2,78.6,D,0
54.2979,-118.9294,328.9,1,1,2010-01-08,1911,Terra,MODIS,81,6.2,271.9,32.3,D,0
53.9124,-118.7856,345.4,1,1,2010-01-08,1911,Terra,MODIS,82,6.2,270.1,56.9,D,0
53.9102,-118.7708,357.4,1,1,2010-01-08,1911,Terra,MODIS,93,6.2,271.8,83.5,D,0
53.9037,-118.7893,304.8,1,1,2010-01-08,1911,Terra,MODIS,60,6.2,268.5,11.2,D,0
53.9014,-118.7745,318.1,1,1,2010-01-08,1911,Terra,MODIS,78,6.2,268.8,21.6,D,0
54.3155,-118.9219,311.7,1,1,2010-01-08,1911,Terra,MODIS,68,6.2,270.7,16.4,D,0
54.125,-117.1312,349.1,1.3,1.1,2010-01-08,2101,Aqua,MODIS,96,6.2,272.6,90.5,D,0
54.1231,-117.1502,396.5,1.3,1.1,2010-01-08,2101,Aqua,MODIS,100,6.2,279.5,331,D,0
54.135,-117.134,304.7,1.3,1.1,2010-01-08,2101,Aqua,MODIS,60,6.2,272.2,15.2,D,0
54.133,-117.1531,342,1.3,1.1,2010-01-08,2101,Aqua,MODIS,93,6.2,274,72.2,D,0
54.8249,-115.5024,339.5,1.5,1.2,2010-01-08,2101,Aqua,MODIS,91,6.2,277.4,81,D,0
54.8229,-115.5256,339.1,1.5,1.2,2010-01-08,2101,Aqua,MODIS,91,6.2,277.1,80.1,D,0
54.3977,-115.1981,303.8,1.5,1.2,2010-01-08,2101,Aqua,MODIS,54,6.2,271.2,19.5,D,0
54.2571,-116.8373,349.6,1.3,1.1,2010-01-08,2101,Aqua,MODIS,96,6.2,273.8,94.1,D,0
54.8162,-115.4757,307.1,1.5,1.2,2010-01-08,2101,Aqua,MODIS,56,6.2,276.1,21.6,D,0
54.8142,-115.499,315.8,1.5,1.2,2010-01-08,2101,Aqua,MODIS,76,6.2,275.9,33,D,0
53.8979,-118.771,348.5,1.1,1.1,2010-01-08,2101,Aqua,MODIS,90,6.2,272.5,75.5,D,0
53.896,-118.7877,321.1,1.1,1.1,2010-01-08,2101,Aqua,MODIS,81,6.2,272.4,28,D,0
53.9073,-118.7737,338.1,1.1,1.1,2010-01-08,2101,Aqua,MODIS,86,6.2,271.4,52,D,0
53.9054,-118.7904,338.7,1.1,1.1,2010-01-08,2101,Aqua,MODIS,91,6.2,272.6,52.9,D,0
54.3033,-118.9492,328.2,1.1,1.1,2010-01-08,2101,Aqua,MODIS,39,6.2,273.9,33.3,D,0
54.3087,-118.9862,310.7,1.1,1,2010-01-08,2101,Aqua,MODIS,39,6.2,273.8,15.6,D,0
54.3411,-119.0045,310.2,1.1,1,2010-01-08,2101,Aqua,MODIS,70,6.2,273.6,17,D,0
54.6744,-118.922,320.9,1.1,1.1,2010-01-08,2101,Aqua,MODIS,81,6.2,272.9,28.3,D,0
56.1052,-116.4736,317,1.4,1.2,2010-01-08,2101,Aqua,MODIS,73,6.2,272.1,32.9,D,0
54.4048,-115.6919,311.2,2.8,1.6,2010-01-09,1953,Terra,MODIS,30,6.2,273,59.7,D,0
54.3941,-115.6541,322.2,2.8,1.6,2010-01-09,1953,Terra,MODIS,69,6.2,274.4,102.8,D,0
54.4021,-115.6989,317.9,2.8,1.6,2010-01-09,1953,Terra,MODIS,65,6.2,273.1,89.3,D,0
54.3891,-115.7094,313.6,2.8,1.6,2010-01-09,1953,Terra,MODIS,55,6.2,273.3,72.7,D,0
53.3876,-116.1082,337.8,1.6,1.3,2010-01-09,2005,Aqua,MODIS,86,6.2,273.4,91.9,D,0
54.1176,-117.1756,328.5,1.7,1.3,2010-01-09,2006,Aqua,MODIS,70,6.2,269.9,70,D,0
54.3766,-115.7011,328.8,1.5,1.2,2010-01-09,2006,Aqua,MODIS,57,6.2,275.3,51.5,D,0
