latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
56.455,-119.8477,304.8,1.1,1,2007-01-02,0529,Terra,MODIS,62,6.2,267,13,N,0
55.922,-114.2125,334.3,1,1,2007-01-02,1858,Terra,MODIS,77,6.2,274.1,40.2,D,0
58.3903,-119.2346,300.7,3.6,1.8,2007-01-02,2035,Terra,MODIS,28,6.2,273,52,D,0
58.3729,-119.1823,314,3.6,1.8,2007-01-02,2035,Terra,MODIS,74,6.2,273.2,109,D,0
53.3475,-115.6269,302.1,2.9,1.6,2007-01-03,1803,Terra,MODIS,51,6.2,272.3,45.5,D,0
53.3414,-115.6271,318.8,2.3,1.5,2007-01-03,1941,Terra,MODIS,79,6.2,273.7,70.9,D,0
55.7895,-121.7578,341.3,1.1,1.1,2007-01-03,1941,Terra,MODIS,92,6.2,269.6,60.6,D,0
55.3824,-120.6153,387.8,1.2,1.1,2007-01-03,1941,Terra,MODIS,100,6.2,277.8,265,D,0
55.3787,-120.5967,377.1,1.2,1.1,2007-01-03,1941,Terra,MODIS,100,6.2,275.2,202.1,D,0
53.3333,-115.5956,307.1,2.3,1.5,2007-01-03,1941,Terra,MODIS,65,6.2,274.2,41.2,D,0
52.0589,-121.5758,311.2,1.4,1.2,2007-01-03,1942,Terra,MODIS,17,6.2,265.6,21.8,D,0
53.329,-115.6202,316.5,2.1,1.4,2007-01-03,1950,Aqua,MODIS,66,6.2,274.1,56.7,D,0
52.0511,-121.605,311.5,4.3,1.9,2007-01-03,1950,Aqua,MODIS,46,6.2,269.2,136,D,0
53.8021,-117.7765,301.1,2.5,1.5,2007-01-03,1951,Aqua,MODIS,42,6.2,271.5,34,D,0
53.9615,-116.0908,312.5,3,1.7,2007-01-03,2128,Aqua,MODIS,73,6.2,272.4,83.9,D,0
53.2939,-115.6059,310.7,3.2,1.7,2007-01-03,2128,Aqua,MODIS,42,6.2,274.5,80.6,D,0
53.811,-117.7296,303,2.5,1.5,2007-01-03,2128,Aqua,MODIS,47,6.2,271.4,39.4,D,0
55.7851,-121.7659,321.8,1.7,1.3,2007-01-03,2129,Aqua,MODIS,49,6.2,272.5,50.2,D,0
55.7734,-121.7641,310.7,1.7,1.3,2007-01-03,2129,Aqua,MODIS,70,6.2,271.5,32,D,0
55.7831,-121.7932,354.7,1.7,1.3,2007-01-03,2129,Aqua,MODIS,98,6.2,274.5,170.6,D,0
55.7759,-121.7595,308.1,1.5,1.2,2007-01-04,0516,Terra,MODIS,74,6.2,269.3,25.6,N,0
55.3785,-120.604,304.9,1.4,1.2,2007-01-04,0516,Terra,MODIS,62,6.2,266.5,20.1,N,0
55.4182,-120.6594,307.4,1.4,1.2,2007-01-04,0516,Terra,MODIS,71,6.2,265.8,23.3,N,0
50.8277,-121.7365,337.5,1.6,1.3,2007-01-04,1847,Terra,MODIS,0,6.2,267.1,94.7,D,0
55.7763,-121.7845,347.7,2.9,1.6,2007-01-04,2023,Terra,MODIS,89,6.2,269.4,293.9,D,0
55.7651,-121.746,335.7,2.9,1.6,2007-01-04,2023,Terra,MODIS,87,6.2,268.1,199.4,D,0
55.6378,-119.5085,318.7,3.6,1.8,2007-01-04,2023,Terra,MODIS,70,6.2,270.1,143.4,D,0
55.7749,-121.7908,339.1,2.9,1.6,2007-01-04,2023,Terra,MODIS,89,6.2,268.6,220.8,D,0
55.42,-120.6899,316.6,3.3,1.7,2007-01-04,2023,Terra,MODIS,66,6.2,267.6,116.7,D,0
55.7638,-121.7519,341,2.9,1.6,2007-01-04,2023,Terra,MODIS,90,6.2,268.2,236.8,D,0
55.6311,-119.5236,310.3,3.6,1.8,2007-01-04,2023,Terra,MODIS,36,6.2,268.9,92.6,D,0
55.4061,-120.6436,319,3.3,1.7,2007-01-04,2023,Terra,MODIS,70,6.2,267.8,129.3,D,0
55.5831,-121.7697,315.1,2.9,1.6,2007-01-04,2024,Terra,MODIS,63,6.2,266.9,88.4,D,0
55.5698,-121.7809,339.5,2.9,1.6,2007-01-04,2024,Terra,MODIS,89,6.2,268,225.8,D,0
54.4956,-115.111,328.9,1,1,2007-01-04,2033,Aqua,MODIS,71,6.2,269.3,34.1,D,0
54.4885,-115.103,319.7,1,1,2007-01-04,2033,Aqua,MODIS,80,6.2,269,23.7,D,0
54.8166,-116.3424,307,1,1,2007-01-04,2033,Aqua,MODIS,49,6.2,265.5,13.1,D,0
54.8057,-116.3537,340.9,1,1,2007-01-04,2033,Aqua,MODIS,70,6.2,266.9,49.8,D,0
