latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.0663,-116.4279,390,1,1,2005-01-03,1904,Terra,MODIS,100,6.2,266.7,0,D,0
54.7595,-115.2107,328,1,1,2005-01-05,1851,Terra,MODIS,61,6.2,268.1,33.1,D,0
51.7407,-115.3088,312.5,1,1,2005-01-05,1852,Terra,MODIS,51,6.2,269.6,16.4,D,0
51.7516,-115.3195,342.8,1,1,2005-01-05,1852,Terra,MODIS,91,6.2,269.9,53,D,0
54.0144,-116.4261,319.9,1,1,2005-01-05,1852,Terra,MODIS,42,6.2,268.7,22.9,D,0
53.9834,-116.4049,324.6,1,1,2005-01-05,1852,Terra,MODIS,51,6.2,271.1,27.5,D,0
53.9923,-116.4016,346.1,1,1,2005-01-05,1852,Terra,MODIS,58,6.2,271.9,58.4,D,0
51.7494,-115.327,311.2,1,1,2005-01-05,2036,Aqua,MODIS,47,6.2,271,15,D,0
54.5629,-115.3725,354,1.1,1,2005-01-05,2037,Aqua,MODIS,0,6.2,266.5,83.7,D,0
54.0127,-116.3422,313.4,1,1,2005-01-05,2037,Aqua,MODIS,74,6.2,269.6,17.5,D,0
53.9847,-116.4111,335.8,1,1,2005-01-05,2037,Aqua,MODIS,84,6.2,272.9,40.5,D,0
53.98,-116.3773,333.1,1,1,2005-01-05,2037,Aqua,MODIS,71,6.2,272.1,36.7,D,0
54.0106,-116.3574,339.1,1,1,2005-01-05,2037,Aqua,MODIS,91,6.2,271.7,47.4,D,0
54.0092,-116.4367,300.8,1,1,2005-01-05,2037,Aqua,MODIS,20,6.2,270,8,D,0
54.5649,-115.3564,333.8,1.1,1,2005-01-05,2037,Aqua,MODIS,0,6.2,265.7,43.5,D,0
53.9956,-116.3995,322.7,1,1,2005-01-05,2037,Aqua,MODIS,67,6.2,271.9,24.1,D,0
55.465,-120.5099,337.6,1,1,2005-01-05,2038,Aqua,MODIS,0,6.2,266.3,48.1,D,0
49.347,-115.9176,313.3,1,1,2005-01-21,2036,Aqua,MODIS,44,6.2,269.8,16.4,D,0
55.6381,-112.0835,310,1,1,2005-01-23,1839,Terra,MODIS,69,6.2,267.5,14.9,D,0
