latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.1997,-121.5483,300.1,2.5,1.5,2008-01-02,2006,Terra,MODIS,0,6.2,265.6,32.7,D,0
52.1908,-121.5137,309.8,2.5,1.5,2008-01-02,2006,Terra,MODIS,27,6.2,267.9,51.8,D,0
52.1781,-121.5227,312.2,2.5,1.5,2008-01-02,2006,Terra,MODIS,0,6.2,266.6,60.6,D,0
52.1832,-121.5122,323,2.5,1.5,2008-01-02,2006,Terra,MODIS,67,6.2,267.5,104.6,D,0
52.7,-116.0039,302.3,1.3,1.1,2008-01-02,2014,Aqua,MODIS,52,6.2,272.8,14,D,0
52.6966,-116.022,345.7,1.3,1.1,2008-01-02,2014,Aqua,MODIS,94,6.2,275.1,84.1,D,0
56.1847,-116.3557,302.4,2.2,1.5,2008-01-04,1953,Terra,MODIS,49,6.2,268.5,35,D,0
55.6372,-119.5686,344,1.7,1.3,2008-01-04,1953,Terra,MODIS,93,6.2,270.6,125.6,D,0
55.6265,-119.577,301.7,1.7,1.3,2008-01-04,1953,Terra,MODIS,49,6.2,269,22.2,D,0
54.5645,-119.2393,301.4,2,1.4,2008-01-04,2002,Aqua,MODIS,47,6.2,266.7,28,D,0
55.3488,-112.8964,302.8,1.1,1.1,2008-01-04,2002,Aqua,MODIS,51,6.2,266.3,13.5,D,0
56.1795,-116.3514,320,1.4,1.2,2008-01-04,2003,Aqua,MODIS,80,6.2,268.7,36.7,D,0
55.633,-119.5679,335.2,1.9,1.4,2008-01-04,2003,Aqua,MODIS,89,6.2,270.1,107.6,D,0
55.6219,-119.5586,300.7,1.9,1.4,2008-01-04,2003,Aqua,MODIS,40,6.2,268.9,24.6,D,0
55.55,-118.8177,301.4,1.8,1.3,2008-01-04,2003,Aqua,MODIS,41,6.2,268.5,23.2,D,0
55.6365,-119.5779,328.8,1.9,1.4,2008-01-04,2003,Aqua,MODIS,86,6.2,269.3,84.4,D,0
54.0563,-117.6118,329.5,1,1,2008-01-05,2045,Aqua,MODIS,0,6.2,267.3,33.1,D,0
54.0543,-117.6272,355.5,1,1,2008-01-05,2045,Aqua,MODIS,74,6.2,273.1,82.9,D,0
54.0356,-117.6289,396.6,1,1,2008-01-05,2045,Aqua,MODIS,100,6.2,272,0,D,0
54.0465,-117.6171,344.3,1,1,2008-01-05,2045,Aqua,MODIS,71,6.2,266.5,57,D,0
54.0523,-117.6425,315.9,1,1,2008-01-05,2045,Aqua,MODIS,0,6.2,267.5,20,D,0
54.0444,-117.6324,401.7,1,1,2008-01-05,2045,Aqua,MODIS,0,6.2,276.5,275.4,D,0
50.3585,-118.8597,320.4,2.1,1.4,2008-01-06,2127,Aqua,MODIS,68,6.2,270.5,68.4,D,0
50.3586,-118.8643,315.8,2.1,1.4,2008-01-06,2127,Aqua,MODIS,64,6.2,270.4,52.1,D,0
55.1246,-120.9168,321,2.5,1.5,2008-01-09,2012,Terra,MODIS,0,6.2,266.2,84,D,0
55.1154,-120.8823,334.8,2.5,1.5,2008-01-09,2012,Terra,MODIS,75,6.2,267.6,150.7,D,0
55.1183,-120.9153,321.5,2.5,1.5,2008-01-09,2012,Terra,MODIS,0,6.2,265.8,87.9,D,0
55.1089,-120.8806,319.6,2.5,1.5,2008-01-09,2012,Terra,MODIS,51,6.2,266.3,83.2,D,0
55.1201,-120.8911,351.1,1.5,1.2,2008-01-09,2021,Aqua,MODIS,90,6.2,268.5,125,D,0
55.1155,-120.9129,345.2,1.5,1.2,2008-01-09,2021,Aqua,MODIS,0,6.2,267.7,103.6,D,0
52.6981,-116.083,382.9,1.5,1.2,2008-01-11,2008,Aqua,MODIS,0,6.2,274.3,289.7,D,0
54.1105,-118.395,336.5,1.7,1.3,2008-01-11,2008,Aqua,MODIS,40,6.2,270.5,81,D,0
54.1159,-118.3714,317,1.7,1.3,2008-01-11,2008,Aqua,MODIS,37,6.2,269.8,37.4,D,0
54.1128,-118.3922,355,1.7,1.3,2008-01-11,2008,Aqua,MODIS,74,6.2,270.1,161.3,D,0
52.6913,-116.097,336.4,1.5,1.2,2008-01-11,2008,Aqua,MODIS,78,6.2,269.8,70.3,D,0
52.688,-116.0769,338.8,1.5,1.2,2008-01-11,2008,Aqua,MODIS,0,6.2,268.3,74,D,0
55.0792,-121.0427,346.5,3,1.6,2008-01-11,2147,Aqua,MODIS,0,6.2,273.5,297.3,D,0
54.0763,-118.4313,318.2,3.9,1.8,2008-01-11,2147,Aqua,MODIS,60,6.2,267.7,152.1,D,0
55.0776,-121.0465,340.4,3,1.6,2008-01-11,2147,Aqua,MODIS,0,6.2,273,243.4,D,0
54.5181,-115.4168,314.4,1.1,1,2008-01-12,0534,Terra,MODIS,83,6.2,265.9,19.4,N,0
54.5651,-119.2076,301.9,1,1,2008-01-12,1905,Terra,MODIS,47,6.2,267,10.6,D,0
53.9655,-118.7541,338.9,1,1,2008-01-12,1905,Terra,MODIS,86,6.2,269.9,48.2,D,0
54.4135,-115.4648,325.4,4.6,2,2008-01-12,1914,Aqua,MODIS,0,6.2,267.7,244.5,D,0
54.4141,-115.4575,320.6,4.6,2,2008-01-12,1914,Aqua,MODIS,0,6.2,267.4,205.7,D,0
55.0544,-115.4206,300.6,1.3,1.1,2008-01-12,2051,Aqua,MODIS,35,6.2,268.3,13.9,D,0
53.961,-118.7352,332.4,1,1,2008-01-13,1022,Aqua,MODIS,100,6.2,272.2,38.9,N,0
53.2542,-116.8857,310.2,2.3,1.5,2008-01-13,1948,Terra,MODIS,33,6.2,270.2,48.5,D,0
53.2585,-116.8898,307.1,2.3,1.5,2008-01-13,1948,Terra,MODIS,65,6.2,271.1,43.7,D,0
53.2495,-116.9094,316.3,2.1,1.4,2008-01-13,1956,Aqua,MODIS,66,6.2,273.8,54.3,D,0
54.8277,-116.1599,312.5,1,1,2008-01-14,0522,Terra,MODIS,79,6.2,267.5,16.9,N,0
55.7201,-112.3789,311.7,1,1,2008-01-14,1852,Terra,MODIS,0,6.2,265.7,17.3,D,0
55.8108,-111.4454,310.4,1.4,1.2,2008-01-14,2039,Aqua,MODIS,38,6.2,266.1,27.5,D,0
55.7137,-112.3813,312.5,1.3,1.1,2008-01-14,2039,Aqua,MODIS,0,6.2,266.8,26.4,D,0
55.0978,-121.1969,390.5,1.1,1,2008-01-15,1935,Terra,MODIS,100,6.2,272.2,0,D,0
54.5253,-115.4185,392.3,1.2,1.1,2008-01-16,1840,Terra,MODIS,100,6.2,276.3,276.4,D,0
54.5177,-115.4397,339.5,1.2,1.1,2008-01-16,1840,Terra,MODIS,78,6.2,267.6,61.4,D,0
54.5156,-115.4214,374.8,1.2,1.1,2008-01-16,1840,Terra,MODIS,100,6.2,271.4,177.3,D,0
54.5273,-115.4368,349.9,1.2,1.1,2008-01-16,1840,Terra,MODIS,90,6.2,269.8,86.5,D,0
56.625,-121.8744,333,1,1,2008-01-17,0553,Terra,MODIS,100,6.2,271.7,39.9,N,0
56.6317,-121.8944,313.8,1,1,2008-01-17,0553,Terra,MODIS,88,6.2,271,18.2,N,0
58.0059,-120.6688,306.2,1.1,1,2008-01-17,0554,Terra,MODIS,67,6.2,267.4,15.4,N,0
54.8726,-119.6327,337.1,1,1,2008-01-17,1923,Terra,MODIS,79,6.2,272,44.7,D,0
54.8752,-119.6483,351.8,1,1,2008-01-17,1923,Terra,MODIS,79,6.2,272.2,73.2,D,0
54.8778,-119.6639,338.4,1,1,2008-01-17,1923,Terra,MODIS,75,6.2,270.3,46.7,D,0
55.3615,-121.7494,329,1,1,2008-01-17,1923,Terra,MODIS,81,6.2,270.2,33,D,0
